medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
C86013D0B08D7D2D0A96F64AB3433C19,860153BE9CF88D44A0150C2E8C55511B,CMT,1,N,2013-01-07 17:38:51,2013-01-07 17:54:41,1,949,5.40,-73.961266,40.760349,-73.998306,40.713749
C86013D0B08D7D2D0A96F64AB3433C19,860153BE9CF88D44A0150C2E8C55511B,CMT,1,N,2013-01-07 22:53:31,2013-01-07 22:57:43,2,252,1.60,-73.989471,40.730213,-73.974487,40.750515
BFC65FA90BB44293A208BC632FD22054,5628A63C1CA9377C2F107276BC92F93D,CMT,1,N,2013-01-07 18:12:10,2013-01-07 18:19:39,1,449,1.70,-74.006058,40.749733,-74.001907,40.729717
BFC65FA90BB44293A208BC632FD22054,5628A63C1CA9377C2F107276BC92F93D,CMT,1,N,2013-01-07 22:30:47,2013-01-07 22:37:18,1,390,1.20,-73.986839,40.747604,-73.980263,40.735409
B3097FE22AF88308099F3D32ED1302BB,1374F6EB89CC849F43A6B6A9EC8BD72C,CMT,1,N,2013-01-01 16:12:17,2013-01-01 16:28:37,1,980,6.20,-73.985123,40.719151,-73.945831,40.745857
9157CFD5FF9AD4D5660B2B5B915CF426,8A6C780611D692586049FF0E804445DD,CMT,1,N,2013-01-07 07:27:40,2013-01-07 07:34:19,1,398,1.40,-74.015839,40.715302,-74.007545,40.703712
B03F137741DCA5B31AB3DC12F26ED47F,D1D0D4AEF3B41A57EB1B53B2037293A1,CMT,1,N,2013-01-07 20:43:12,2013-01-07 21:03:01,1,1188,5.10,-73.987854,40.738323,-73.971924,40.79697
81124DBD6AB03F24B895D5CF04AAACA2,499371A3895A7F2F1C9292FBBBE63413,CMT,1,N,2013-01-08 13:28:18,2013-01-08 13:34:19,1,360,.50,-73.98365,40.758492,-73.990486,40.754971
C5C0EC1A54337149ADA745E0C8C1765A,A110A93F58B799E35F35274BCC67A597,CMT,1,N,2013-01-08 08:06:49,2013-01-08 08:14:25,1,455,1.40,-73.965775,40.758514,-73.983765,40.754944
3DCE55A6DEFA0ED112682B06DC628F69,E6FC17849A4456882AFB9B06D6C777ED,CMT,1,N,2013-01-05 17:08:58,2013-01-05 17:33:33,1,1475,6.30,-74.010246,40.720131,-73.956215,40.764313
3DCE55A6DEFA0ED112682B06DC628F69,E6FC17849A4456882AFB9B06D6C777ED,CMT,1,N,2013-01-05 17:57:17,2013-01-05 18:15:32,1,1095,3.70,-73.955055,40.805038,-73.990685,40.761292
31642EC7B1A51589E044284B4901B510,C8FFC38654B12648D6713AF94B94337F,CMT,1,N,2013-01-07 23:51:40,2013-01-07 23:56:01,1,260,1.20,-73.910553,40.761341,-73.914322,40.746269
67B0EC98DD6BCB83FA5A36106DF74D20,D0C845B1A38DD1F1957FCE483B0B0363,CMT,1,N,2013-01-07 12:33:29,2013-01-07 12:44:15,1,645,1.60,-74.007729,40.715164,-73.988319,40.712879
67B0EC98DD6BCB83FA5A36106DF74D20,D0C845B1A38DD1F1957FCE483B0B0363,CMT,1,N,2013-01-07 08:22:06,2013-01-07 08:25:13,1,187,.50,-73.955666,40.779308,-73.95578,40.783882
40591581511C4A6FF6FCF04D1ABCBFEF,A50D9E93168A2286C8083BFB2AA1855F,CMT,1,N,2013-01-01 13:05:58,2013-01-01 13:16:23,1,625,2.00,-73.976227,40.733456,-73.991913,40.748943
39AC06174E0C41C05AEA1C1227FD5907,445469DA5868B7C448B152EE4AC1CE21,CMT,1,N,2013-01-02 05:22:37,2013-01-02 05:39:46,1,1029,6.10,-73.983772,40.694748,-73.988472,40.767117
E75A0D7C53FDF322CF633A322F8FCEE4,EA6A84716CB53ED13B22F1068CBCBBE1,CMT,1,N,2013-01-01 18:26:27,2013-01-01 18:29:50,1,202,1.10,-73.97097,40.751667,-73.960175,40.762188
4EE5DD12D3F50C7E31FCAAAEA51B530E,2885BE89FD8DA3CCB98E2B21B794D144,CMT,1,N,2013-01-01 11:36:33,2013-01-01 11:42:09,3,335,.80,-73.971642,40.756004,-73.981438,40.753796
08CED443036B7C30AD47C5D1AE3A34F7,4AC11012522AE5B31F862A094B9E8642,CMT,1,N,2013-01-07 18:04:07,2013-01-07 18:14:13,1,605,2.00,-73.953026,40.783085,-73.955711,40.803677
FF9EE82E0716241CB0466787348AF71B,BEE8C3217D5DDFA46299CF6E2D86AFC0,CMT,1,N,2013-01-07 17:39:56,2013-01-07 17:58:14,1,1097,2.90,-73.990379,40.737148,-73.982094,40.771881
4CAEEC39A75E57BBAB480DDE0B45A1C5,B631BFE1C2262B8ABC570E32CB343AB3,CMT,1,N,2013-01-07 17:19:32,2013-01-07 17:23:27,1,234,1.10,-73.99456,40.755867,-74.005196,40.740826
2D52700DA9D3D20B8D57EE5E9C1C04B8,E9D2DEBC5F2C8C8231CE3E1632337E3C,CMT,1,N,2013-01-10 08:10:02,2013-01-10 08:20:37,2,634,1.50,-73.993233,40.752666,-73.972107,40.754204
8AFF507A0454E1B72CC54CB2BB69FFBA,F2F04A2CE645D280A3E559C1BAEA7E6B,CMT,1,N,2013-01-07 13:12:58,2013-01-07 13:17:52,2,293,1.60,-74.003166,40.72031,-73.9935,40.74165
915D5155B2A1977B71EBA5029DB58B11,58169B2AF24148377820A57F0375D057,CMT,1,N,2013-01-08 12:48:44,2013-01-08 12:55:31,1,406,1.60,-73.964104,40.756443,-73.953697,40.776226
7DD264FDACEE4D4E7F67B71E90847674,6CB9E13D73F0DEF9E7F96B62BCB3487B,CMT,1,N,2013-01-07 18:55:47,2013-01-07 19:10:10,1,863,1.90,-73.970215,40.762863,-73.99054,40.748348
04FDE702738ED4F1B032130E0F7202F3,0E3E5BFF774E91DD16FFDF838FD000E6,CMT,1,N,2013-01-07 15:30:13,2013-01-07 15:35:02,1,289,.90,-73.988853,40.745125,-73.997421,40.735142
9EF8607B4226353DA2506B9693D1AF05,2EA93DF42E51D51C96F31415AA01A06C,CMT,1,N,2013-01-10 11:40:14,2013-01-10 11:44:50,2,275,.70,-73.95813,40.764816,-73.958191,40.773163
4DFBC87BBAEF285CAFBE76E6FD037DD2,620FE4EED3A59DD9D33ABBB0C333BDB7,CMT,1,N,2013-01-10 10:27:49,2013-01-10 10:43:35,1,946,1.30,-73.992302,40.75565,-73.976929,40.763783
4ADAC3A078F6BAA8FE6AF583FD8A32FB,7EDF384A51BB97304AAB566DF2D5355A,CMT,1,N,2013-01-07 22:53:03,2013-01-07 23:00:44,1,460,1.80,-73.844414,40.72147,-73.817116,40.713078
04FDE702738ED4F1B032130E0F7202F3,0E3E5BFF774E91DD16FFDF838FD000E6,CMT,1,N,2013-01-07 16:19:44,2013-01-07 16:24:48,1,303,1.50,-73.969429,40.785408,-73.964211,40.803249
7A8F9C40126F0BCABE9B240F687A9A18,B543458BB6A48BC78CC1A24865C67FEF,CMT,1,N,2013-01-10 07:31:17,2013-01-10 07:36:03,1,285,.90,-74.005325,40.718342,-74.011406,40.708233
3F13D5C7C5E7E54F4DE7B5BF124AC2E4,E745B08B5A4A65F7350C64D6BAF366A3,CMT,1,N,2013-01-07 17:52:44,2013-01-07 18:15:59,1,1394,4.20,-73.968422,40.70993,-73.980232,40.660652
8256A8A7A60BA3A05CBCB93E78175F3B,1A681BD9EF32866A9AA65B7394A546BC,CMT,1,N,2013-01-07 17:51:25,2013-01-07 17:54:46,1,200,.50,-73.982231,40.740372,-73.978752,40.746899
